#t 0-1 0-2 0-3 0-4 0-5 0-6 1-2 1-3 1-4 1-5 1-6 2-3 2-4 2-5 2-6 3-4 3-5 3-6 4-5 4-6 5-6
19.593090 0.041166 0.480364 0.143409 0.1223 0.261016 0.183947 0.111512 0.190593 0.187037 0.315991 0.250383 2.80295 1.21787 0.801832 0.665968 11.5132 0.881111 1.87439 0.537061 1.39334 4.4636
19.834980 0.040746 0.486786 0.133042 0.117123 0.26349 0.183472 0.105327 0.181474 0.193028 0.314549 0.254383 2.21841 1.17789 0.830796 0.659066 11.932 0.88823 1.79755 0.74607 1.81902 3.54069
20.076870 0.040352 0.491744 0.127993 0.112623 0.265418 0.183223 0.10105 0.17593 0.197563 0.313784 0.257406 1.81265 1.10874 0.855914 0.656686 9.93915 0.874435 1.63276 1.16597 2.28626 2.91675
20.318760 0.0399696 0.4957 0.125884 0.110938 0.266763 0.183032 0.0981091 0.17462 0.201077 0.313301 0.25964 1.55775 1.00783 0.87914 0.656718 7.71694 0.862444 1.48052 2.03264 2.71427 2.48926
20.560650 0.0396501 0.499 0.125297 0.1146 0.2666 0.182758 0.0961299 0.175836 0.206231 0.312245 0.261195 1.39909 0.90683 0.90298 0.657593 6.15525 0.87203 1.37101 4.49347 3.10383 2.23104
20.802540 0.039377 0.501858 0.125737 0.134391 0.259252 0.182352 0.0948655 0.178495 0.220281 0.305753 0.262211 1.29473 0.816347 0.931519 0.658693 5.1059 1.03777 1.29465 16.4915 3.38652 2.26952
21.044430 0.0391747 0.504468 0.126962 0.237019 0.174358 0.181762 0.0941478 0.182126 0.292639 0.242615 0.262719 1.22265 0.800989 0.911477 0.659172 3.55583 2.8366 1.23876 66.39 2.45555 3.67147
21.286320 0.0388819 0.506905 0.128804 0.278162 0.10311 0.181008 0.0937127 0.18657 0.324244 0.205211 0.262796 1.17103 0.901989 0.789666 0.658915 2.11841 3.52674 1.1954 14.8168 1.37779 4.62535
21.528210 0.0386599 0.509228 0.131211 0.282131 0.0993225 0.180082 0.0937018 0.191823 0.328073 0.206088 0.262551 1.13354 0.939 0.735401 0.657532 1.96251 3.29855 1.15889 5.45394 1.19055 5.15126
21.770100 0.0385195 0.511463 0.134032 0.284324 0.100158 0.179012 0.0940644 0.197944 0.33082 0.208051 0.262042 1.10827 0.965304 0.69984 0.655103 2.10507 3.05011 1.12727 3.03119 1.08821 5.68494
22.011990 0.0384449 0.51363 0.137206 0.286321 0.100802 0.177867 0.0947401 0.205195 0.333245 0.209034 0.261421 1.09509 0.988228 0.671997 0.651609 2.58819 2.82987 1.09713 2.07302 1.0098 6.23926
22.253880 0.0384299 0.515763 0.141003 0.288115 0.100567 0.17668 0.0957084 0.214421 0.334624 0.208692 0.260716 1.09705 1.00633 0.648901 0.647039 4.32695 2.63479 1.0688 1.61361 0.946238 6.81325
22.495770 0.0384554 0.517857 0.146821 0.288927 0.0992173 0.175482 0.0969353 0.227934 0.333024 0.206936 0.259952 1.12227 1.01108 0.629262 0.641345 10.488 2.44526 1.04001 1.40264 0.894935 7.39791
22.737660 0.0385325 0.519912 0.160414 0.285409 0.0967389 0.174235 0.0984804 0.251828 0.32294 0.203806 0.259079 1.18809 0.981069 0.612661 0.634244 29.518 2.21865 1.00525 1.40134 0.858617 7.97157
22.979550 0.0387805 0.521956 0.193646 0.267869 0.0932687 0.172842 0.100016 0.29308 0.293951 0.199613 0.257927 1.30015 0.895325 0.599841 0.625606 65.3181 1.87005 0.948887 1.62685 0.852226 8.48725
23.221440 0.038799 0.523933 0.233425 0.238229 0.0891754 0.171194 0.101753 0.331803 0.257565 0.194891 0.256265 1.39399 0.829878 0.591092 0.614977 73.2104 1.47269 0.872641 1.86773 0.868364 8.86818
23.463330 0.0389581 0.525855 0.255069 0.218994 0.0851092 0.169005 0.103547 0.350681 0.238773 0.190315 0.253849 1.45065 0.831924 0.587295 0.602395 57.3769 1.24816 0.80672 1.96844 0.872738 9.01941
23.705220 0.0391234 0.527758 0.264298 0.211528 0.0818082 0.166115 0.105375 0.359231 0.231774 0.186817 0.250539 1.49986 0.856165 0.588594 0.588139 45.5424 1.18825 0.753813 2.03584 0.864192 8.86373
23.947110 0.0393202 0.52959 0.26751 0.210344 0.0801075 0.162603 0.107061 0.363513 0.229026 0.185208 0.246476 1.54843 0.889444 0.594768 0.573162 38.9779 1.24739 0.707834 2.15993 0.853939 8.39958
24.189000 0.0395466 0.531332 0.267029 0.212787 0.0806857 0.158646 0.10863 0.365081 0.228045 0.186305 0.242019 1.59532 0.933746 0.605185 0.55861 35.3437 1.42786 0.668696 2.39949 0.850489 7.70019
24.430890 0.039712 0.53296 0.263287 0.217945 0.084237 0.154544 0.110071 0.363798 0.228525 0.19106 0.237685 1.6361 0.994716 0.620188 0.545695 33.0176 1.77069 0.644448 2.79838 0.862727 6.87983
24.672780 0.039901 0.53447 0.255722 0.225778 0.0912592 0.150626 0.111417 0.358487 0.23182 0.200192 0.234031 1.66737 1.08063 0.639874 0.535251 30.801 2.33902 0.652176 3.36112 0.896594 6.03776
24.914670 0.0401806 0.535797 0.243398 0.23639 0.101875 0.147178 0.112682 0.347236 0.240218 0.213903 0.231368 1.68212 1.19832 0.66496 0.527655 27.5906 3.17534 0.717385 4.01049 0.947541 5.23936
25.156560 0.0403716 0.536903 0.225805 0.249176 0.115242 0.144367 0.113659 0.328385 0.25536 0.23082 0.229924 1.67834 1.34863 0.694714 0.522673 22.7047 4.20135 0.851793 4.55147 0.9954 4.51319
25.398450 0.0406106 0.537801 0.204235 0.262179 0.129514 0.14226 0.11438 0.302889 0.275487 0.248117 0.229658 1.66663 1.51727 0.727391 0.520211 16.7494 5.11918 1.02771 4.74219 1.01452 3.8684
25.640340 0.0408245 0.538492 0.182403 0.272915 0.142539 0.14081 0.114834 0.276112 0.295623 0.262591 0.230404 1.67402 1.68152 0.759879 0.519838 11.4009 5.55714 1.19166 4.51742 0.996964 3.30989
25.882230 0.0410803 0.538882 0.164153 0.280316 0.152826 0.139926 0.114765 0.254763 0.311788 0.272513 0.232005 1.73567 1.82642 0.788989 0.521338 7.6587 5.42156 1.30143 4.08602 0.953517 2.84226
26.124120 0.0412444 0.538961 0.151355 0.284833 0.160113 0.139506 0.114181 0.242311 0.323099 0.278081 0.23417 1.88407 1.94904 0.813615 0.524663 5.35784 4.93006 1.35127 3.74991 0.899522 2.46456
26.366010 0.0413733 0.538601 0.144283 0.287335 0.164932 0.139494 0.112895 0.238409 0.330433 0.280467 0.23697 2.16188 2.052 0.83373 0.530187 3.9809 4.34082 1.35712 3.69377 0.845308 2.16538
26.607900 0.0414613 0.537569 0.142804 0.288548 0.167963 0.139862 0.110702 0.24093 0.33497 0.280726 0.240238 2.65528 2.13588 0.849802 0.538625 3.13855 3.79924 1.33652 3.94805 0.795731 1.93062
26.849790 0.0415557 0.535332 0.147687 0.2889 0.169803 0.14056 0.107545 0.247622 0.337691 0.279583 0.243982 3.54596 2.19875 0.86361 0.551918 2.61416 3.3528 1.30318 4.48084 0.752805 1.74408
27.091680 0.0416185 0.530737 0.161442 0.28861 0.170942 0.141597 0.103921 0.256549 0.339307 0.277392 0.248185 5.19475 2.233 0.878342 0.573606 2.29742 3.00207 1.26376 5.32156 0.717264 1.59573
27.333570 0.0416096 0.521238 0.18858 0.287758 0.171727 0.142973 0.10214 0.26568 0.340376 0.27423 0.252872 8.18979 2.22417 0.903702 0.61045 2.13906 2.73031 1.21924 6.62292 0.689556 1.47757
27.575460 0.0416442 0.502184 0.233746 0.286177 0.172796 0.144655 0.108311 0.272123 0.341467 0.269967 0.258104 12.996 2.1519 0.956446 0.671611 2.12008 2.51204 1.16497 8.80635 0.669611 1.38225
27.817350 0.0416189 0.468891 0.29427 0.283521 0.174948 0.146655 0.129518 0.271714 0.343086 0.264168 0.263789 18.4022 2.00237 1.04872 0.757826 2.21279 2.32234 1.09633 13.0092 0.658719 1.30688
28.059240 0.0416396 0.424688 0.354658 0.278224 0.180579 0.148948 0.161564 0.263136 0.346296 0.255566 0.269927 21.1671 1.81619 1.14287 0.849138 2.34684 2.15441 1.02138 22.9541 0.661391 1.24536
28.301130 0.0414687 0.382353 0.399485 0.26312 0.199162 0.151517 0.192032 0.250758 0.35243 0.242126 0.276464 20.3925 1.69031 1.15278 0.921353 2.44412 2.03414 0.961896 54.1938 0.703803 1.18019
28.543020 0.0414898 0.350853 0.427129 0.204766 0.256376 0.154326 0.215212 0.239549 0.344487 0.248453 0.283271 18.2253 1.69533 1.00769 0.970884 2.37738 2.10481 0.928917 101.422 0.910553 1.00152
28.784910 0.0414648 0.330931 0.442399 0.157846 0.285351 0.157342 0.231317 0.23134 0.305336 0.291175 0.290377 16.2291 1.64126 0.997745 1.0061 2.19661 2.28499 0.920078 32.9774 1.06822 0.824502
29.026800 0.0414702 0.320698 0.449453 0.150981 0.286645 0.16052 0.241523 0.226199 0.285918 0.306568 0.297495 14.8326 1.61148 0.983039 1.03429 2.17696 2.30057 0.930866 10.4778 1.09179 0.814346
29.268690 0.0414632 0.318082 0.451045 0.149584 0.2849 0.163878 0.247066 0.223558 0.275748 0.312475 0.304524 14.0164 1.60829 0.95333 1.06009 2.24235 2.24736 0.957369 4.54369 1.09339 0.865695
